Date : 2023-02-01 13:15:44
Directory : d:\qianduan\musicProject\ACGMusic\music
Total : 61 files,  35600 codes, 1365 comments, 1022 blanks, all 37987 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     23,655 |          0 |          2 |     23,657 |
| Vue                |         33 |     10,587 |      1,140 |        622 |     12,349 |
| JavaScript         |         19 |        907 |        202 |        127 |      1,236 |
| CSS                |          1 |        268 |          4 |         85 |        357 |
| XML                |          1 |        102 |          3 |        171 |        276 |
| TypeScript         |          1 |         31 |          3 |          3 |         37 |
| HTML               |          1 |         22 |          2 |          6 |         30 |
| Markdown           |          1 |         19 |          0 |          6 |         25 |
| JSON with Comments |          1 |          9 |         11 |          0 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         61 |     35,600 |      1,365 |      1,022 |     37,987 |
| . (Files)                                                                                         |          8 |     22,231 |         33 |         21 |     22,285 |
| public                                                                                            |          2 |         37 |          7 |          7 |         51 |
| public (Files)                                                                                    |          1 |         22 |          2 |          6 |         30 |
| public\js                                                                                         |          1 |         15 |          5 |          1 |         21 |
| src                                                                                               |         51 |     13,332 |      1,325 |        994 |     15,651 |
| src (Files)                                                                                       |          4 |         68 |         23 |         15 |        106 |
| src\assets                                                                                        |          3 |      1,922 |          7 |        256 |      2,185 |
| src\assets (Files)                                                                                |          1 |      1,552 |          0 |          0 |      1,552 |
| src\assets\fonts                                                                                  |          2 |        370 |          7 |        256 |        633 |
| src\components                                                                                    |         12 |      3,886 |        527 |        257 |      4,670 |
| src\components\home                                                                               |          8 |      2,315 |        294 |        153 |      2,762 |
| src\components\home (Files)                                                                       |          5 |        742 |         97 |         58 |        897 |
| src\components\home\RecommendedDaily                                                              |          1 |        282 |         20 |         18 |        320 |
| src\components\home\morePlayList                                                                  |          1 |        583 |         42 |         29 |        654 |
| src\components\home\perFm                                                                         |          1 |        708 |        135 |         48 |        891 |
| src\components\item                                                                               |          4 |      1,571 |        233 |        104 |      1,908 |
| src\plugins                                                                                       |          1 |         13 |          0 |          3 |         16 |
| src\request                                                                                       |          9 |        504 |        119 |         73 |        696 |
| src\request (Files)                                                                               |          1 |          7 |          4 |          4 |         15 |
| src\request\api                                                                                   |          8 |        497 |        115 |         69 |        681 |
