Date : 2023-01-25 15:21:44
Directory : d:\qianduan\musicProject\ACGMusic\music
Total : 59 files,  35471 codes, 1327 comments, 1008 blanks, all 37806 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     23,678 |          0 |          2 |     23,680 |
| Vue                |         33 |     10,493 |      1,142 |        623 |     12,258 |
| JavaScript         |         17 |        852 |        163 |        113 |      1,128 |
| CSS                |          1 |        268 |          4 |         85 |        357 |
| XML                |          1 |        102 |          3 |        171 |        276 |
| TypeScript         |          1 |         31 |          3 |          3 |         37 |
| Markdown           |          1 |         19 |          0 |          6 |         25 |
| HTML               |          1 |         19 |          1 |          5 |         25 |
| JSON with Comments |          1 |          9 |         11 |          0 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         59 |     35,471 |      1,327 |      1,008 |     37,806 |
| . (Files)                                                                                         |          8 |     22,231 |         16 |         17 |     22,264 |
| public                                                                                            |          2 |         34 |          6 |          6 |         46 |
| public (Files)                                                                                    |          1 |         19 |          1 |          5 |         25 |
| public\js                                                                                         |          1 |         15 |          5 |          1 |         21 |
| src                                                                                               |         49 |     13,206 |      1,305 |        985 |     15,496 |
| src (Files)                                                                                       |          2 |         42 |          6 |          7 |         55 |
| src\assets                                                                                        |          3 |      1,922 |          7 |        256 |      2,185 |
| src\assets (Files)                                                                                |          1 |      1,552 |          0 |          0 |      1,552 |
| src\assets\fonts                                                                                  |          2 |        370 |          7 |        256 |        633 |
| src\components                                                                                    |         12 |      3,844 |        519 |        257 |      4,620 |
| src\components\home                                                                               |          8 |      2,300 |        293 |        156 |      2,749 |
| src\components\home (Files)                                                                       |          5 |        726 |         96 |         60 |        882 |
| src\components\home\RecommendedDaily                                                              |          1 |        282 |         19 |         18 |        319 |
| src\components\home\morePlayList                                                                  |          1 |        583 |         44 |         30 |        657 |
| src\components\home\perFm                                                                         |          1 |        709 |        134 |         48 |        891 |
| src\components\item                                                                               |          4 |      1,544 |        226 |        101 |      1,871 |
| src\plugins                                                                                       |          1 |         13 |          0 |          3 |         16 |
| src\request                                                                                       |          9 |        498 |        114 |         71 |        683 |
| src\request (Files)                                                                               |          1 |          7 |          0 |          4 |         11 |
| src\request\api                                                                                   |          8 |        491 |        114 |         67 |        672 |
| src\router                                                                                        |          1 |        131 |          8 |         22 |        161 |
| src\store                                                                                         |          1 |        135 |         29 |          6 |        170 |
| src\views                                                                                         |         20 |      6,621 |        622 |        363 |      7,606 |
| src\views (Files)                                                                                 |          4 |        810 |         74 |         44 |        928 |
| src\views\Comment                                                                                 |          2 |        591 |         45 |         26 |        662 |
| src\views\concernList                                                                             |          1 |        166 |          6 |         10 |        182 |
| src\views\generalUserDetail                                                                       |          2 |      1,214 |         90 |         59 |      1,363 |
| src\views\list                                                                                    |          1 |        265 |         17 |         12 |        294 |
| src\views\login                                                                                   |          3 |        472 |         31 |         42 |        545 |
| src\views\singer                                                                                  |          1 |        361 |         37 |         27 |        425 |
| src\views\userDetail                                                                              |          6 |      2,742 |        322 |        143 |      3,207 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                          | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\qianduan\musicProject\ACGMusic\music\.eslintrc.js                                              | JavaScript         |         21 |          2 |          2 |         25 |
| d:\qianduan\musicProject\ACGMusic\music\README.md                                                 | Markdown           |         19 |          0 |          6 |         25 |
| d:\qianduan\musicProject\ACGMusic\music\babel.config.js                                           | JavaScript         |          5 |          0 |          1 |          6 |
| d:\qianduan\musicProject\ACGMusic\music\components.d.ts                                           | TypeScript         |         31 |          3 |          3 |         37 |
| d:\qianduan\musicProject\ACGMusic\music\jsconfig.json                                             | JSON with Comments |          9 |         11 |          0 |         20 |
| d:\qianduan\musicProject\ACGMusic\music\package-lock.json                                         | JSON               |     22,082 |          0 |          1 |     22,083 |
| d:\qianduan\musicProject\ACGMusic\music\package.json                                              | JSON               |         44 |          0 |          1 |         45 |
| d:\qianduan\musicProject\ACGMusic\music\public\index.html                                         | HTML               |         19 |          1 |          5 |         25 |
| d:\qianduan\musicProject\ACGMusic\music\public\js\rem.js                                          | JavaScript         |         15 |          5 |          1 |         21 |
| d:\qianduan\musicProject\ACGMusic\music\src\App.vue                                               | Vue                |         28 |          1 |          3 |         32 |
| d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.css                             | CSS                |        268 |          4 |         85 |        357 |
| d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.svg                             | XML                |        102 |          3 |        171 |        276 |
| d:\qianduan\musicProject\ACGMusic\music\src\assets\province.json                                  | JSON               |      1,552 |          0 |          0 |      1,552 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\Playlist.vue                          | Vue                |        108 |         48 |         13 |        169 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\RecommendedDaily\RecommendedDaily.vue | Vue                |        282 |         19 |         18 |        319 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\SwpierTop.vue                         | Vue                |         48 |          2 |          4 |         54 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\TopNav.vue                            | Vue                |        338 |         23 |         22 |        383 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\iconList.vue                          | Vue                |        116 |         13 |          9 |        138 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\morePlayList\morePlayList.vue         | Vue                |        583 |         44 |         30 |        657 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\perFm\perFm.vue                       | Vue                |        709 |        134 |         48 |        891 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\personalList.vue                      | Vue                |        116 |         10 |         12 |        138 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\item\FooterMusic.vue                       | Vue                |        274 |         76 |         30 |        380 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\item\MusicDetail.vue                       | Vue                |        735 |         89 |         41 |        865 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicList.vue                     | Vue                |        270 |         39 |         16 |        325 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicTop.vue                      | Vue                |        265 |         22 |         14 |        301 |
| d:\qianduan\musicProject\ACGMusic\music\src\main.js                                               | JavaScript         |         14 |          5 |          4 |         23 |
| d:\qianduan\musicProject\ACGMusic\music\src\plugins\vant.js                                       | JavaScript         |         13 |          0 |          3 |         16 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\comment.js                                | JavaScript         |         54 |         18 |          5 |         77 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\home.js                                   | JavaScript         |        118 |         24 |         18 |        160 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\item.js                                   | JavaScript         |         73 |         13 |          7 |         93 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\list.js                                   | JavaScript         |         13 |          2 |          3 |         18 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\morePlayList.js                           | JavaScript         |         32 |          8 |          6 |         46 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\singer.js                                 | JavaScript         |         31 |          5 |          3 |         39 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\userDetail.js                             | JavaScript         |         73 |         10 |         12 |         95 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\video.js                                  | JavaScript         |         97 |         34 |         13 |        144 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\index.js                                      | JavaScript         |          7 |          0 |          4 |         11 |
