Date : 2023-01-08 22:54:04
Directory : d:\qianduan\musicProject\ACGMusic\music
Total : 53 files,  29845 codes, 838 comments, 815 blanks, all 31498 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     21,667 |          0 |          2 |     21,669 |
| Vue                |         29 |      7,064 |        692 |        451 |      8,207 |
| JavaScript         |         16 |        667 |        124 |         93 |        884 |
| CSS                |          1 |        268 |          4 |         85 |        357 |
| XML                |          1 |        102 |          3 |        171 |        276 |
| TypeScript         |          1 |         30 |          3 |          3 |         36 |
| Markdown           |          1 |         19 |          0 |          6 |         25 |
| HTML               |          1 |         19 |          1 |          4 |         24 |
| JSON with Comments |          1 |          9 |         11 |          0 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         53 |     29,845 |        838 |        815 |     31,498 |
| . (Files)                                                                                         |          8 |     21,771 |         16 |         18 |     21,805 |
| public                                                                                            |          2 |         34 |          6 |          5 |         45 |
| public (Files)                                                                                    |          1 |         19 |          1 |          4 |         24 |
| public\js                                                                                         |          1 |         15 |          5 |          1 |         21 |
| src                                                                                               |         43 |      8,040 |        816 |        792 |      9,648 |
| src (Files)                                                                                       |          2 |         37 |          2 |          8 |         47 |
| src\assets                                                                                        |          2 |        370 |          7 |        256 |        633 |
| src\assets\fonts                                                                                  |          2 |        370 |          7 |        256 |        633 |
| src\components                                                                                    |         12 |      2,902 |        379 |        205 |      3,486 |
| src\components\home                                                                               |          8 |      1,566 |        149 |        114 |      1,829 |
| src\components\home (Files)                                                                       |          5 |        684 |         90 |         57 |        831 |
| src\components\home\RecommendedDaily                                                              |          1 |        280 |         19 |         19 |        318 |
| src\components\home\morePlayList                                                                  |          1 |        579 |         40 |         32 |        651 |
| src\components\home\perFm                                                                         |          1 |         23 |          0 |          6 |         29 |
| src\components\item                                                                               |          4 |      1,336 |        230 |         91 |      1,657 |
| src\plugins                                                                                       |          1 |         13 |          0 |          3 |         16 |
| src\request                                                                                       |          8 |        371 |         75 |         55 |        501 |
| src\request (Files)                                                                               |          1 |          7 |          0 |          4 |         11 |
| src\request\api                                                                                   |          7 |        364 |         75 |         51 |        490 |
| src\router                                                                                        |          1 |        104 |         15 |         18 |        137 |
| src\store                                                                                         |          1 |        107 |         25 |          4 |        136 |
| src\views                                                                                         |         16 |      4,136 |        313 |        243 |      4,692 |
| src\views (Files)                                                                                 |          4 |        805 |         72 |         42 |        919 |
| src\views\Comment                                                                                 |          2 |        545 |         33 |         25 |        603 |
| src\views\concernList                                                                             |          1 |        153 |          4 |          9 |        166 |
| src\views\list                                                                                    |          1 |        267 |         15 |         12 |        294 |
| src\views\login                                                                                   |          3 |        448 |         26 |         41 |        515 |
| src\views\singer                                                                                  |          1 |        357 |         28 |         27 |        412 |
| src\views\userDetail                                                                              |          4 |      1,561 |        135 |         87 |      1,783 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                          | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\qianduan\musicProject\ACGMusic\music\.eslintrc.js                                              | JavaScript         |         21 |          2 |          2 |         25 |
| d:\qianduan\musicProject\ACGMusic\music\README.md                                                 | Markdown           |         19 |          0 |          6 |         25 |
| d:\qianduan\musicProject\ACGMusic\music\babel.config.js                                           | JavaScript         |          5 |          0 |          1 |          6 |
| d:\qianduan\musicProject\ACGMusic\music\components.d.ts                                           | TypeScript         |         30 |          3 |          3 |         36 |
| d:\qianduan\musicProject\ACGMusic\music\jsconfig.json                                             | JSON with Comments |          9 |         11 |          0 |         20 |
| d:\qianduan\musicProject\ACGMusic\music\package-lock.json                                         | JSON               |     21,626 |          0 |          1 |     21,627 |
| d:\qianduan\musicProject\ACGMusic\music\package.json                                              | JSON               |         41 |          0 |          1 |         42 |
| d:\qianduan\musicProject\ACGMusic\music\public\index.html                                         | HTML               |         19 |          1 |          4 |         24 |
| d:\qianduan\musicProject\ACGMusic\music\public\js\rem.js                                          | JavaScript         |         15 |          5 |          1 |         21 |
| d:\qianduan\musicProject\ACGMusic\music\src\App.vue                                               | Vue                |         26 |          0 |          3 |         29 |
| d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.css                             | CSS                |        268 |          4 |         85 |        357 |
| d:\qianduan\musicProject\ACGMusic\music\src\assets\fonts\iconfont.svg                             | XML                |        102 |          3 |        171 |        276 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\Playlist.vue                          | Vue                |        108 |         48 |         13 |        169 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\RecommendedDaily\RecommendedDaily.vue | Vue                |        280 |         19 |         19 |        318 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\SwpierTop.vue                         | Vue                |         47 |          2 |          4 |         53 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\TopNav.vue                            | Vue                |        332 |         22 |         22 |        376 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\iconList.vue                          | Vue                |         80 |          9 |          6 |         95 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\morePlayList\morePlayList.vue         | Vue                |        579 |         40 |         32 |        651 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\perFm\perFm.vue                       | Vue                |         23 |          0 |          6 |         29 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\home\personalList.vue                      | Vue                |        117 |          9 |         12 |        138 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\item\FooterMusic.vue                       | Vue                |        205 |         56 |         29 |        290 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\item\MusicDetail.vue                       | Vue                |        597 |        113 |         32 |        742 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicList.vue                     | Vue                |        269 |         39 |         16 |        324 |
| d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicTop.vue                      | Vue                |        265 |         22 |         14 |        301 |
| d:\qianduan\musicProject\ACGMusic\music\src\main.js                                               | JavaScript         |         11 |          2 |          5 |         18 |
| d:\qianduan\musicProject\ACGMusic\music\src\plugins\vant.js                                       | JavaScript         |         13 |          0 |          3 |         16 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\comment.js                                | JavaScript         |         54 |         18 |          5 |         77 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\home.js                                   | JavaScript         |        106 |         22 |         17 |        145 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\item.js                                   | JavaScript         |         67 |         12 |          7 |         86 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\list.js                                   | JavaScript         |         13 |          2 |          3 |         18 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\morePlayList.js                           | JavaScript         |         32 |          8 |          6 |         46 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\singer.js                                 | JavaScript         |         31 |          5 |          3 |         39 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\api\userDetail.js                             | JavaScript         |         61 |          8 |         10 |         79 |
| d:\qianduan\musicProject\ACGMusic\music\src\request\index.js                                      | JavaScript         |          7 |          0 |          4 |         11 |
| d:\qianduan\musicProject\ACGMusic\music\src\router\index.js                                       | JavaScript         |        104 |         15 |         18 |        137 |
| d:\qianduan\musicProject\ACGMusic\music\src\store\index.js                                        | JavaScript         |        107 |         25 |          4 |        136 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\bottom.vue                              | Vue                |         79 |          6 |          6 |         91 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\comment.vue                             | Vue                |        466 |         27 |         19 |        512 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\HomeView.vue                                    | Vue                |         34 |          2 |          4 |         40 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\Search.vue                                      | Vue                |        303 |         40 |         19 |        362 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\concernList\concernList.vue                     | Vue                |        153 |          4 |          9 |        166 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\infoUser.vue                                    | Vue                |        426 |         19 |         12 |        457 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\itemMusic.vue                                   | Vue                |         42 |         11 |          7 |         60 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\list\list.vue                                   | Vue                |        267 |         15 |         12 |        294 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login.vue                                 | Vue                |        132 |          1 |         10 |        143 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login2.vue                                | Vue                |        157 |          2 |         13 |        172 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\login\loginByQrCode.vue                         | Vue                |        159 |         23 |         18 |        200 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\singer\singer.vue                               | Vue                |        357 |         28 |         27 |        412 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\album.vue                            | Vue                |        229 |         19 |         13 |        261 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue                      | Vue                |        529 |         41 |         28 |        598 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\songs.vue                            | Vue                |        236 |         34 |         15 |        285 |
| d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue                       | Vue                |        567 |         41 |         31 |        639 |
| d:\qianduan\musicProject\ACGMusic\music\vue.config.js                                             | JavaScript         |         20 |          0 |          4 |         24 |
| Total                                                                                             |                    |     29,845 |        838 |        815 |     31,498 |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
